identifiant;Section;Numero;Surface;hauteur;coordonnees_de_la_forme
IK109000KW0287;KW;287;139.431319359691030;7.000000000000000;POLYGON ((352884.939420855 6689138.70439115,352886.830297351 6689139.92956966,352891.284681276 6689137.00005776,352899.243424664 6689131.7526394,352900.748192973 6689131.55383411,352900.541760412 6689128.00535095,352903.689519181 6689127.37716978,352906.45302247 6689126.66007855,352916.721024853 6689124.61630821,352915.694483714 6689120.00287898,352905.627353109 6689121.5899036,352903.530995353 6689122.04565354,352899.854306172 6689122.70460508,352896.965483794 6689123.87405133,352898.352342756 6689129.4679051,352889.884023987 6689135.07876608,352884.939420855 6689138.70439115))
IK109000IP0069;IP;69;301.902389517450560;10.000000000000000;POLYGON ((353058.139705753 6689005.01491065,353059.036177103 6689011.30489769,353059.432324218 6689015.50993916,353060.112386162 6689015.47039553,353067.340589289 6689014.60504073,353069.298765224 6689014.37991617,353078.642719352 6689013.3915542,353087.224603527 6689012.33625044,353087.136146181 6689012.1188633,353087.369281053 6689012.2165734,353087.03762798 6689009.12043274,353086.738211929 6689006.57874345,353086.139379443 6689001.49536496,353079.591222369 6689002.32115558,353077.563927259 6689002.66156052,353075.977112659 6689002.75382445,353067.999716328 6689003.77399529,353067.099413091 6689003.93760918,353058.744206321 6689004.97976062,353058.139705753 6689005.01491065))
IK109000KW0288;KW;288;690.427526811633360;7.000000000000000;POLYGON ((352886.830297351 6689139.92956966,352891.51418038 6689143.55136493,352895.472852951 6689146.43649552,352916.224492227 6689161.69656263,352919.238617137 6689160.07477405,352919.538040436 6689144.36893796,352919.571202472 6689141.02904771,352916.721024853 6689124.61630821,352906.45302247 6689126.66007855,352903.689519181 6689127.37716978,352900.541760412 6689128.00535095,352900.748192973 6689131.55383411,352899.243424664 6689131.7526394,352891.284681276 6689137.00005776,352886.830297351 6689139.92956966))
IK109000KW0289;KW;289;36.098518209529217;7.000000000000000;POLYGON ((352907.033809231 6689173.13522425,352908.946773451 6689172.13381618,352913.804747207 6689169.6259031,352911.450371911 6689165.64604528,352906.737065677 6689168.03427879,352904.37718843 6689169.17295188,352907.033809231 6689173.13522425))
IK109000KW0290;KW;290;268.054932295414800;7.000000000000000;POLYGON ((352874.26376007 6689187.16961943,352878.064843355 6689189.95264095,352880.510433806 6689191.5906058,352881.430059189 6689191.759634,352898.461439483 6689180.86617304,352901.751987142 6689178.78323199,352900.78535068 6689176.50289275,352907.033809231 6689173.13522425,352904.37718843 6689169.17295188,352906.737065677 6689168.03427879,352911.450371911 6689165.64604528,352909.149451117 6689163.88838647,352903.22902739 6689167.68203023,352903.550622451 6689167.99711771,352895.87481568 6689172.89427726,352893.760977135 6689174.35243746,352874.26376007 6689187.16961943))
IK109000KW0291;KW;291;499.159805209692590;7.000000000000000;POLYGON ((352865.68104067 6689173.8720517,352873.601213735 6689186.20677736,352874.26376007 6689187.16961943,352893.760977135 6689174.35243746,352895.87481568 6689172.89427726,352903.550622451 6689167.99711771,352903.22902739 6689167.68203023,352909.149451117 6689163.88838647,352902.952530372 6689159.01941431,352901.713157048 6689159.87037249,352899.372630477 6689161.34171787,352899.202156059 6689161.01783908,352891.847938717 6689166.23009097,352890.161656585 6689167.21831685,352888.57117607 6689164.64047649,352887.820166916 6689163.46024861,352886.488622918 6689161.42367156,352884.947009949 6689162.29221695,352865.68104067 6689173.8720517))
IK109000KW0292;KW;292;95.143023006933674;7.000000000000000;POLYGON ((352902.952530372 6689159.01941431,352901.679050157 6689157.98084489,352899.699719432 6689156.53827714,352896.043297892 6689153.6355604,352894.429827426 6689157.17865321,352894.177340827 6689156.7482803,352891.100562 6689158.59625759,352886.488622918 6689161.42367156,352887.820166916 6689163.46024861,352888.57117607 6689164.64047649,352890.161656585 6689167.21831685,352891.847938717 6689166.23009097,352899.202156059 6689161.01783908,352899.372630477 6689161.34171787,352901.713157048 6689159.87037249,352902.952530372 6689159.01941431))
IK109000IR0069;IR;69;273.639842843985150;7.000000000000000;POLYGON ((352983.265504541 6689010.81555998,352983.523569467 6689006.12741073,352983.624060655 6689001.3371608,352983.745729781 6688998.21465785,352982.123007859 6688995.08234308,352967.969770202 6688992.90134903,352967.089698393 6688998.62706408,352966.243710652 6689006.2423065,352965.707374248 6689010.0565202,352967.004836189 6689010.20358685,352974.524221572 6689010.43383622,352983.265504541 6689010.81555998))
IK109000KW0293;KW;293;395.484564762205370;7.000000000000000;POLYGON ((352891.100562 6689158.59625759,352883.050484587 6689147.93804889,352874.619058463 6689152.87919529,352869.195309301 6689156.08764977,352866.263206635 6689157.81595748,352860.474566882 6689161.26818101,352857.762699044 6689162.87241408,352865.68104067 6689173.8720517,352884.947009949 6689162.29221695,352886.488622918 6689161.42367156,352891.100562 6689158.59625759))
IK109000IR0070;IR;70;538.152839382075630;7.000000000000000;POLYGON ((352982.822150496 6689022.74672696,352983.265504541 6689010.81555998,352974.524221572 6689010.43383622,352967.004836189 6689010.20358685,352965.707374248 6689010.0565202,352965.480686728 6689010.06970499,352962.205700006 6689009.81512735,352951.707124825 6689009.20185125,352944.407972858 6689008.84755493,352942.732697172 6689008.72246929,352942.01020221 6689023.67404344,352944.447547212 6689023.866067,352947.949214646 6689024.10744944,352948.33347631 6689024.19636381,352951.224194704 6689024.36201927,352953.73710124 6689024.54965151,352959.600548979 6689024.98746419,352959.78486647 6689021.63878529,352965.024468286 6689021.77909296,352971.334841771 6689022.07965744,352976.354204787 6689022.34404977,352982.822150496 6689022.74672696))
IK109000KW0294;KW;294;317.310073703063720;0.000000000000000;POLYGON ((352873.601213735 6689186.20677736,352865.68104067 6689173.8720517,352847.736517503 6689184.70747291,352851.819639392 6689191.03456317,352855.840097013 6689197.58783282,352856.714559075 6689196.9806267,352856.891486964 6689197.41539438,352873.601213735 6689186.20677736))
